"","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26"
"Mean",402203455.506331,1331034681.7535,1138817492.32799,2894662944.66052,740021347.00387,542597079.434994,1218920824.90857,503130356.422718,179210062.719465,199003374.336318,39886195.6540688,418870554.661152,108881020.180852,727261641.234782,519098051.904827,148275671.818545,178857429.096357,315638134.07848,379818557.994943,594403556.321395,355464535.454277,326201171.341347,418293086.048588,815579716.117299,189214305.993659,45445966.1334738
"Std Dev",123480020.037288,158458897.920179,72617911.3073309,466322575.403024,224992103.013654,96022284.3358395,2015812085.15113,31965236.5086226,54753726.5558817,189819112.309076,13985919.0143425,28915470.4180696,41602573.9889873,61085798.6095324,111623357.190261,49933184.3375193,433182885.321269,140796647.003498,61986450.1373878,65873572.1261187,372608491.438691,54494523.5458375,272502923.396097,994689407.62264,28435260.7144084,39463013.3225295
"CV",0.307008849244818,0.119049413281573,0.0637660659381728,0.161097365848138,0.304034611872456,0.176967934357161,1.65376786084718,0.0635327129452037,0.305528192585887,0.953848712073995,0.35064560018814,0.0690319959144918,0.382092066366435,0.0839942534378931,0.215033280862179,0.336759117157305,2.421945163306,0.446069824276967,0.163200161847313,0.110822977799448,1.04822972272748,0.167058025333737,0.651464086988145,1.21961028206785,0.150280712470871,0.868350189907448
"0.05",234689788.102143,1087400135.23536,1023452835.56422,2196295120.19935,434151214.324031,400255547.287298,95457782.9304101,452341924.372467,104852775.149342,38349544.3526492,21497278.3170181,373072318.013636,55418835.2884435,631347024.459643,357731541.183707,81961471.4991786,6960476.16756832,143045951.175217,287112030.644376,492612788.397854,59530626.1779272,244900993.356305,131761194.311212,107565064.212148,146335627.769466,9999794.47546853
"0.1",261726365.954936,1135290387.8382,1047414649.42711,2327801890.53961,483676887.318666,426623126.147803,144854232.209957,462893352.98547,116873150.103505,51365786.691772,24328338.9378451,382535686.78407,63372686.2918414,650874822.921601,386458201.228586,92325829.1178684,11524931.2013592,166989332.994294,304531414.054363,512788180.240026,81394033.352914,260116438.502152,163542562.791179,152155559.965881,154500224.706721,13130002.6086917
"0.15",281706267.728286,1168787671.45061,1063897718.80331,2420949113.6152,520245342.023966,445387678.330484,191925149.763929,470151052.163892,125752430.971056,62560763.2952621,26446191.8682049,389055823.161536,69374450.2339678,664390236.594548,407132131.654151,100049298.713796,16195568.2555982,185369009.807538,316877411.336654,526865198.198628,100519738.371387,270912763.822849,189211013.54957,192268492.908023,160264665.718744,15778421.0858011
"0.2",298667928.484642,1196113746.13254,1077182743.60524,2497630736.32813,551270679.953762,460888042.976628,240023149.667385,476000313.609192,133288083.757463,73173955.8853015,28260122.5668495,394316990.055871,74547298.9356882,675331737.673421,424349066.92306,106645903.116018,21224107.9209141,201408873.694379,327045616.571219,538328267.069033,118877275.215907,279812041.875218,212455341.362619,231564889.68959,164999066.038828,18259338.6240393
"0.25",314031152.76433,1220065686.97493,1088712243.34059,2565349544.92929,579358119.890456,474615189.110818,290786679.599861,481076421.545217,140111882.43366,83703040.0404412,29915152.7717851,398887267.433142,79291474.5543358,684862064.242304,439698763.666126,112650767.931419,26765583.8466895,216271341.226685,336028676.208659,548361120.674126,137276280.730983,287679450.139717,234659855.680048,271619870.462363,169172067.930249,20696411.1433098
"0.3",328500146.604152,1241983758.23455,1099171223.31295,2627726482.5928,605799044.393095,487290682.019792,345461521.170408,485681040.460718,146537085.699522,94443591.5392013,31483863.4526935,403036644.472252,83808652.3285078,693535157.959147,453955885.504227,118330934.462481,32964833.6686255,230550688.721131,344305829.851555,557530188.092115,156213814.853487,294932968.911105,256571150.561878,313462104.651976,173009421.479991,23160978.5979829
"0.35",342502265.988658,1262645451.11521,1108952697.88885,2686881120.52688,631376508.205922,499338406.431902,405262439.736612,489987239.359688,152753721.44954,105622847.845828,33010846.325253,406920181.30672,88223893.9181698,701670088.252414,467579573.066645,123849811.946736,39984225.5203509,244622896.861304,352157738.266933,566163498.249974,176086729.552374,301817593.842434,278697516.58093,357968158.862128,176642958.919385,25706011.7838042
"0.4",356340377.586173,1282569119.31605,1118314835.38746,2744243960.54981,656644855.440936,511045828.570625,471552527.951392,494108699.254069,158896388.947295,117452062.117471,34528227.5796598,410639873.579857,92628416.8161729,709477554.909034,480884985.491347,129324504.448495,48022256.3308373,258769451.241014,359773939.845129,574479246.908012,197276958.710195,308498970.912596,301455126.374089,406029403.715108,180161367.546718,28379118.6622004
"0.45",370260829.777042,1302144674.86196,1127448033.06811,2800908522.27172,682054378.592248,522634087.916921,545991982.738647,498129252.366585,165074496.56743,130156425.418487,36062664.8023302,414271078.667657,97099025.1055234,717114045.09053,494118382.422081,134851562.826773,57333948.8474462,273234585.504419,367299443.765865,582641064.588316,220202784.000375,315104023.725555,325240583.673713,458662285.159498,183632156.425663,31229660.7343491
"0.5",384491408.637533,1321701553.15659,1136509249.86513,2857816925.06452,708020835.674133,534295143.530403,630715071.617684,502118001.004084,171389135.581395,144000295.884696,37639336.0219084,417876061.316329,101709365.191282,724709708.280552,507497470.381346,140521567.185295,68259142.566604,288259618.818924,374859306.273405,590786685.797232,245364792.049107,321742411.11281,350480509.77092,517117580.233878,187113193.248861,34314413.3068565
"0.55",399268924.571617,1341552155.71706,1145643290.99412,2915881583.50889,734975860.404799,546216381.594981,728584876.96168,506138689.375332,177945330.176058,159316646.475255,39284939.8106205,421512414.486783,106538607.945562,732385824.642133,521238819.695358,146429974.041731,81266171.9206789,304110871.206996,382574768.039543,599046186.972582,273401998.301706,328520651.322577,377679151.666129,583022848.050283,190660218.609145,37703866.5456483
"0.6",414866382.298548,1362027955.69265,1154999678.227,2976090207.20917,763416479.387599,558602153.545849,843599552.512011,510257130.289254,184864086.52799,176549349.930872,41030765.7090601,425239763.247905,111680576.254947,740268888.905755,535582707.329298,152688084.353538,97023982.2100161,321110577.168706,390577204.00835,607557035.339111,305174418.59869,335554374.14413,407478848.367139,658599080.116305,194333266.696074,41491033.4112001
"0.65",431628219.712186,1383519810.78587,1164750559.23301,3039627438.21866,793969204.164945,571699065.64979,981589860.200812,514549087.567688,192298004.373277,196321966.674743,42916791.7178286,429126916.390579,117256159.393834,748505843.514238,550823212.30221,159437552.094981,116528718.095503,339680417.932192,399024312.773346,616480767.824373,341899025.15848,342982586.902229,440752358.457467,747023401.849368,198204034.295893,45805587.0547616
"0.7",450026110.625199,1406536103.25769,1175115621.32776,3108054674.36879,827491407.238694,585833694.206734,1151507410.19714,519111239.535259,200455984.606999,219560532.132801,44998277.2380791,433261851.04062,123433496.186823,757285561.155387,567353988.939675,166873615.372929,141341849.037221,360413617.944726,408124078.411227,626026922.971946,385394091.001277,350988834.82194,478762274.948989,853087463.582995,202366708.057197,50838912.3375089
"0.75",470761075.819182,1431804053.06526,1186404656.44595,3183627585.30449,865256715.213523,601479486.855443,1368018308.51778,524079908.390689,209648427.27915,247733955.71847,47357926.8331976,437768805.569901,130465412.905453,766875826.093743,585750299.355019,175287849.402257,174078419.907297,384209980.713703,418177106.445887,636494629.098065,438559967.218821,359838629.621993,523466561.305518,984503053.225612,206957020.246518,56892905.3660782
"0.8",494976625.264524,1460475645.6189,1199103200.17377,3269945976.55858,909341856.872824,619394025.838614,1657346393.94975,529668741.225528,220381559.755849,283380677.783545,50131403.8118153,442842705.297852,138768206.431437,777698028.950126,606938255.599282,185157706.646543,219529158.129503,412561801.858437,429663301.936287,648357014.606701,506437256.977482,369956126.31585,578176038.980477,1154797655.83376,212191183.430983,64486397.0616965
"0.85",524779389.923493,1494621339.94658,1214076552.84934,3373518894.40966,963571344.624563,640950152.618165,2072690848.77622,536258476.444819,233587816.700727,331455118.554322,53569891.0160818,448831227.360259,149115343.368135,790505537.781698,632604656.864202,197365809.636489,287690463.859917,448260515.217211,443450667.269209,662463395.397191,598925963.723344,382108903.426843,649204216.101845,1390818577.40917,218459552.083857,74625905.48134
"0.9",564840469.07803,1538720854.44409,1233182365.48962,3508510586.90909,1036422282.91638,669141644.94044,2746219392.39657,544666466.490072,251334337.863944,403694492.976618,58233306.4246439,456481339.268657,163237438.286491,806920382.814292,666446414.190923,213876344.603438,404280985.501977,497598297.757562,461428585.080862,680649284.762967,739659637.166095,397968616.304223,751098586.403645,1757481565.88498,226610331.177484,89678501.6489113
"0.95",629910847.470419,1606487749.09196,1262054517.94652,3718588409.21337,1154651852.18751,713222595.751475,4167302962.14508,557371477.963504,280147432.945862,540712688.114312,65902278.1990313,468060464.92805,186665687.103872,831878730.600805,719963583.840662,240921868.324548,669395373.500104,580887520.121766,489423933.871409,708525877.394371,1011309388.84066,422693994.377051,932266805.651073,2486035719.36269,239253745.799635,117750316.117232
