"","S01","S02","S03","S04","S05","S06","S07","S08","S09","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26"
"Mean",401252607.182474,1334335867.96405,1138006210.52301,1078323474.83606,734864334.063877,542057916.443439,1516956026.88457,214120796.551854,176943034.862447,198984039.764788,38441537.8928285,425300193.282658,114017221.966989,726777989.21584,528922495.126199,149155123.730269,101885604.076135,352042436.129681,377716044.613542,597335879.29746,384281442.311986,327895480.380914,431003785.495382,892902299.69273,171975824.528043,47273388.4044862
"Std Dev",54194273.0386172,262935422.482646,92163883.8858793,61420586989.5358,86781931.779018,80954114.6439577,15064396409.3988,40095316.1811461,50608738.6677814,79279949.728109,12882984.5908145,51337160.6510731,38039253.8042608,55990910.7402233,143151218.240696,27204414.8467714,411551650.719452,2246176367.76202,67028026.8701894,79866390.0009937,3030088066.70405,49303639.0479024,115504174.351295,189955929681.876,2352187038.35534,30028508.0616729
"CV",0.135062731228489,0.197053402217117,0.0809871537023706,56.9593340243974,0.118092452928154,0.14934587649806,9.93067441799034,0.187255590427603,0.286017128095061,0.398423661625441,0.335131872890494,0.120708058594636,0.333627263916975,0.0770399098088192,0.270646870873852,0.18239007931077,4.03935035230213,6.38041365824033,0.177456128290152,0.133704324098071,7.88507518987612,0.150363887268671,0.267988770025624,212.739881784652,13.6774284688589,0.635209556055923
"0.05",324932471.667754,936279435.040084,1003102323.39295,-2588756018.35334,612942561.633996,424901546.696899,420629860.415115,159248244.994438,115614510.435486,94604731.1282373,18268292.1393587,339746086.56772,71261976.9284642,640804798.726279,372848538.741052,111033729.558871,39319510.8330228,58083821.8635284,287635965.44846,502442971.080759,124412092.596773,260765146.387926,289621791.729253,-628413916.152573,120223750.835831,13219364.6521331
"0.1",342623185.796484,1060057806.52036,1033736011.33339,-1049345761.57263,642417922.652561,451925898.549091,623881897.429021,168641913.413485,129045097.569264,112991725.276249,22786960.0276253,362703177.986063,79718031.9670674,659605837.843999,414189558.352676,119464284.600758,50999027.2093138,141516639.226661,306489737.961714,523114286.026094,184105728.583633,276309596.391572,312017104.519748,-57239757.9903312,137753219.642545,19385680.9557936
"0.15",353247768.629172,1126868930.41249,1052999625.77986,-517013942.972955,660038819.475599,468781910.426867,739777775.418422,175583994.36217,137609723.182721,126237085.419699,25613243.5136786,376629403.322542,85557650.8275609,671955112.024336,437686923.085801,124762311.286905,58414721.5503559,177295712.332942,318502474.308052,536053069.32142,218187519.097487,285758578.150769,328640352.716839,151604949.732546,147530766.876849,23680531.7321475
"0.2",361741251.962192,1173502980.81131,1067920845.56405,-225420197.149826,673083241.175506,481830547.089156,822322720.24222,181460399.114052,144369255.77749,137396774.431165,27845361.2573931,386467628.97808,89954240.0377491,681975091.213828,454977119.596064,128875344.042008,64515144.7749712,201292206.67845,328728246.82184,546539464.498442,242213831.94575,292733939.929521,342464565.983341,273159612.6491,155006701.926514,27048596.6312419
"0.25",369150185.311857,1210406264.48766,1081317649.77777,-45746229.1140979,685193753.042916,492310493.078654,889130370.42887,186613733.706271,150270374.987873,147428238.279547,29859955.0337449,394887348.824669,93650587.8449856,690123464.404194,468842176.413536,132202911.195803,70052672.4358492,222931625.707462,336944015.205844,555849744.130821,261728697.847449,298530049.350317,354782572.207527,359419258.072948,160663418.641002,30027773.318995
"0.3",375868858.391821,1243719342.75689,1092929682.10099,78360221.8388583,695317971.383841,502164820.326877,950910403.932756,191326291.834302,155298736.599793,156435221.5667,31711221.0952528,401985818.416275,97208124.6491952,697746452.893988,481945440.275215,135274089.664578,75117065.1163641,241720158.548035,344312618.979293,564011739.008788,279325819.738752,303896237.948619,366547301.551167,427724263.261315,165657809.675999,32724808.4904632
"0.35",381897002.240799,1273570615.66474,1103734842.03497,174306965.767681,705006038.089445,511733979.543696,1007394957.41665,195587068.363241,160259489.910313,164981933.338444,33375491.8602712,408308139.578422,100462867.126059,704468565.782522,493993988.467362,138247994.54903,79788824.695379,259062519.881785,351015747.197577,571854816.314409,294877899.916534,308874896.958542,378229374.144069,486656360.291805,170071484.327282,35274288.8279592
