origin,dev,value
1995,1,17674
1995,2,32062
1995,3,38619
1995,4,42035
1995,5,43829
1995,6,44723
1995,7,45162
1995,8,45375
1995,9,45483
1995,10,45540
1996,1,18315
1996,2,32791
1996,3,39271
1996,4,42933
1996,5,44950
1996,6,45917
1996,7,46392
1996,8,46600
1996,9,46753
1997,1,18606
1997,2,32942
1997,3,39634
1997,4,43411
1997,5,45428
1997,6,46357
1997,7,46681
1997,8,46921
1998,1,18816
1998,2,33667
1998,3,40575
1998,4,44446
1998,5,46476
1998,6,47350
1998,7,47809
1999,1,20649
1999,2,36515
1999,3,43724
1999,4,47684
1999,5,49753
1999,6,50716
2000,1,22327
2000,2,39312
2000,3,46848
2000,4,51065
2000,5,53242
2001,1,23141
2001,2,40527
2001,3,48284
2001,4,52661
2002,1,24301
2002,2,42168
2002,3,50356
2003,1,24210
2003,2,41640
2004,1,24468
