origin,dev,value
1981,1,5012
1981,2,3257
1981,3,2638
1981,4,898
1981,5,1734
1981,6,2642
1981,7,1828
1981,8,599
1981,9,54
1981,10,172
1982,1,106
1982,2,4179
1982,3,1111
1982,4,5270
1982,5,3116
1982,6,1817
1982,7,-103
1982,8,673
1982,9,535
1983,1,3410
1983,2,5582
1983,3,4881
1983,4,2268
1983,5,2594
1983,6,3479
1983,7,649
1983,8,603
1984,1,5655
1984,2,5900
1984,3,4211
1984,4,5500
1984,5,2159
1984,6,2658
1984,7,984
1985,1,1092
1985,2,8473
1985,3,6271
1985,4,6333
1985,5,3786
1985,6,225
1986,1,1513
1986,2,4932
1986,3,5257
1986,4,1233
1986,5,2917
1987,1,557
1987,2,3463
1987,3,6926
1987,4,1368
1988,1,1351
1988,2,5596
1988,3,6165
1989,1,3133
1989,2,2262
1990,1,2063
