origin,dev,value
1993,1,14695.0
1993,2,205514.6
1993,3,118685.8
1993,4,416286.0
1993,5,93544.3
1993,6,185042.9
1993,7,37750.4
1993,8,0.0
1993,9,14086.1
1994,1,153615.2
1994,2,467722.3
1994,3,645513.4
1994,4,421895.9
1994,5,146576.3
1994,6,96470.3
1994,7,27764.5
1994,8,38016.7
1995,1,24741.3
1995,2,547861.5
1995,3,754474.6
1995,4,417573.0
1995,5,156596.3
1995,6,55155.3
1995,7,36984.2
1996,1,68630.4
1996,2,188626.8
1996,3,492305.7
1996,4,179249.0
1996,5,34062.0
1996,6,443435.8
1997,1,29177.2
1997,2,364672.1
1997,3,437507.4
1997,4,385570.8
1997,5,529319.5
1998,1,40430.2
1998,2,241808.7
1998,3,678541.4
1998,4,528026.2
1999,1,45125.1
1999,2,372934.6
1999,3,704167.7
2000,1,21695.0
2000,2,158004.5
2001,1,6626.3
